Date,Open,High,Low,Close,Adj Close,Volume
2009-08-04,92.589996,93.239998,92.540001,93.190002,69.745567,12338900
2009-08-05,93.129997,93.220001,92.120003,92.830002,69.476089,11396200
2009-08-06,93.239998,93.349998,92.190002,92.629997,69.326408,10482300
2009-08-07,93.550003,94.500000,93.110001,93.790001,70.194580,11813100
2009-08-10,93.489998,93.809998,93.000000,93.500000,69.977554,13051400
2009-08-11,93.190002,93.230003,92.300003,92.580002,69.288994,9305200
2009-08-12,92.550003,94.419998,92.529999,93.769997,70.179596,13586400
2009-08-13,94.139999,94.260002,93.169998,94.190002,70.493958,10209100
2009-08-14,94.070000,94.120003,92.500000,93.410004,69.910187,10846500
2009-08-17,91.870003,91.980003,91.400002,91.610001,68.563049,12121400
2009-08-18,91.879997,92.589996,91.750000,92.300003,69.079407,8539100
2009-08-19,91.690002,93.449997,91.570000,93.129997,69.700592,14296100
2009-08-20,93.150002,93.949997,92.930000,93.790001,70.194580,8271000
2009-08-21,93.980003,95.209999,93.900002,95.029999,71.373009,11866500
2009-08-24,95.430000,95.910004,94.889999,95.129997,71.448097,9349100
2009-08-25,95.449997,96.820000,95.279999,95.480003,71.710953,14622300
2009-08-26,95.260002,95.849998,94.870003,95.459999,71.695923,11497200
2009-08-27,95.500000,96.120003,94.599998,95.820000,71.966347,13096800
2009-08-28,96.389999,96.449997,95.010002,95.580002,71.786087,10813900
2009-08-31,94.709999,95.089996,94.410004,95.050003,71.388008,9890500
2009-09-01,94.599998,95.660004,92.980003,93.209999,70.006081,17938600
2009-09-02,92.940002,93.419998,92.709999,92.830002,69.720657,10922400
2009-09-03,93.239998,93.610001,92.629997,93.449997,70.186287,7262500
2009-09-04,93.570000,94.570000,93.300003,94.449997,70.937393,8118600
2009-09-08,95.199997,95.220001,94.620003,95.059998,71.395554,10862500
2009-09-09,95.089996,95.910004,94.870003,95.529999,71.748512,13560500
2009-09-10,95.570000,96.459999,95.190002,96.339996,72.356842,12244800
2009-09-11,96.370003,96.629997,95.860001,96.220001,72.266754,8116500
2009-09-14,95.440002,96.449997,95.400002,96.320000,72.341866,8417900
2009-09-15,96.500000,97.309998,95.959999,96.900002,72.777451,11687700
2009-09-16,97.320000,98.150002,96.940002,98.080002,73.663719,10580800
2009-09-17,97.970001,98.720001,97.639999,98.059998,73.648697,15803800
2009-09-18,98.339996,98.459999,97.919998,98.110001,73.817970,9910900
2009-09-21,97.559998,98.040001,97.230003,97.739998,73.539604,7711800
2009-09-22,98.309998,98.419998,97.690002,98.209999,73.893181,8206300
2009-09-23,98.360001,99.160004,97.400002,97.580002,73.419205,13199100
2009-09-24,97.750000,98.019997,96.620003,96.989998,72.975296,16702600
2009-09-25,96.879997,97.349998,96.379997,96.739998,72.787193,13350100
2009-09-28,97.010002,98.239998,96.949997,97.839996,73.614815,6393200
2009-09-29,97.949997,98.360001,97.389999,97.440002,73.313911,8171200
2009-09-30,97.620003,97.790001,96.070000,97.089996,73.050552,15351500
2009-10-01,96.919998,96.940002,95.010002,95.120003,71.568291,15473500
2009-10-02,94.220001,95.269997,94.199997,94.860001,71.372673,15752800
2009-10-05,95.070000,96.279999,94.800003,95.970001,72.207863,8742700
2009-10-06,96.580002,97.769997,96.559998,97.290001,73.201035,12439600
2009-10-07,97.129997,97.480003,96.830002,97.279999,73.193489,10039900
2009-10-08,97.940002,98.449997,97.540001,97.910004,73.667496,9701300
2009-10-09,97.870003,98.720001,97.690002,98.690002,74.254410,6494100
2009-10-12,99.000000,99.389999,98.559998,98.940002,74.442490,5438300
